CityCode,CityName
YIE,阿尔山
HET,呼和浩特
CKG,重庆
DSN,鄂尔多斯
AAT,阿勒泰
AKU,阿克苏
BJS,北京
BPL,博乐
TLQ,吐鲁番
TCG,塔城
URC,乌鲁木齐
CAN,广州
SIA,西安
YIN,伊宁
KRL,库尔勒
KRY,克拉玛依
KHG,喀什
ACF,阿拉尔
SHF,石河子
CSX,长沙
TWC,图木舒克
HGH,杭州
HTN,和田
HMI,哈密
CGO,郑州
AKA,安康
JJN,泉州
SZX,深圳
SHA,上海
WUH,武汉
FOC,福州
KCA,库车
LHW,兰州
JUZ,衢州
JBK,奇台
TAO,青岛
QSZ,莎车
WNZ,温州
XNN,西宁
INC,银川
ZFL,昭苏
AOG,鞍山
AQG,安庆
TSN,天津
KWE,贵阳
HAK,海口
AXF,阿拉善左旗
HLD,海拉尔
XIL,锡林浩特
TGO,通辽
BFJ,毕节
JHG,西双版纳
LJG,丽江
NGB,宁波
BHY,北海
CTU,成都
HRB,哈尔滨
TNA,济南
JNG,济宁
NKG,南京
SHE,沈阳
TYN,太原
YIH,宜昌
YCU,运城
BSD,保山
KMG,昆明
BZX,巴中
WUX,无锡
YIW,义乌
KJI,布尔津
NLT,新源
RLK,巴彦淖尔
BAV,包头
NBS,白山
AEB,百色
DBC,白城
JUH,池州
CGD,常德
CGQ,长春
HCZ,郴州
BPX,昌都
CZX,常州
CIH,长治
DZH,达州
DOY,东营
DLU,大理
DQA,大庆
DIG,迪庆
DLC,大连
DNH,敦煌
EHU,鄂州
ERL,二连浩特
ENH,恩施
FYJ,抚远
FUG,阜阳
FUO,佛山
KOW,赣州
GYU,固原
KWL,桂林
GYS,广元
HEK,黑河
HFE,合肥
HUZ,惠州
HUO,霍林郭勒
HZG,汉中
HJJ,怀化
HNY,衡阳
TXN,黄山
JGD,加格达奇
JMU,佳木斯
JGN,嘉峪关
JSJ,建三江
SHS,荆州
JGS,井冈山
JIU,九江
JDZ,景德镇
JIC,金昌
JXA,鸡西
SWA,揭阳
LXA,拉萨
LZG,阆中
LZO,泸州
LZY,林芝
LZH,柳州
LNL,陇南
LYG,连云港
LFQ,临汾
LLV,吕梁
LNJ,临沧
MIG,绵阳
WMT,茅台
MDG,牡丹江
NZH,满洲里
LUM,芒市
OHE,漠河
NNG,南宁
NAO,南充
NTG,南通
KHN,南昌
BAR,琼海
IQN,庆阳
NDG,齐齐哈尔
SQD,上饶
WDS,十堰
SYX,三亚
YSQ,松原
HSC,韶关
SQJ,三明
WGN,邵阳
TEN,铜仁
HYN,台州
TCZ,腾冲
TNH,通化
WNH,文山
WUA,乌海
HLH,乌兰浩特
WEH,威海
CQW,武隆
WUZ,梧州
WXN,万州
XFN,襄阳
XIC,西昌
DXJ,湘西土家族苗族自治州
XMN,厦门
ACX,兴义
LDS,伊春
YNZ,盐城
YBP,宜宾
YTW,于田
LLF,永州
YIC,宜春
YLX,玉林
YUS,玉树
YNJ,延吉
YTY,扬州
ENY,延安
UYN,榆林
YNT,烟台
ZYI,遵义
ZHY,中卫
ZAT,昭通
ZHA,湛江
ZUH,珠海
YZY,张掖
HSN,舟山
NZL,扎兰屯
DYG,张家界
CIF,赤峰
SJW,石家庄
GMQ,果洛
GOQ,格尔木
HDG,邯郸
JZH,九寨沟
KGT,康定
LYI,临沂
PZI,攀枝花
RKZ,日喀则
LGZ,山南
YYA,岳阳
HIA,淮安
HZA,菏泽
RIZ,日照
WEF,潍坊
XUZ,徐州
CHG,朝阳
LYA,洛阳
CDE,承德
DAT,大同
MXZ,梅州
SYM,普洱
THQ,天水
TVS,唐山
WUT,忻州
XAI,信阳
SZH,朔州
JNZ,锦州
DDG,丹东
HTT,花土沟
HXD,德令哈
FYN,富蕴
NNY,南阳
WSK,巫山
UCB,乌兰察布
XNT,邢台
ZQZ,张家口
JMJ,澜沧
HCJ,河池
DTU,五大连池
BPE,秦皇岛
IQM,且末
RQA,若羌
NGQ,阿里
HQL,塔什库尔干
CWJ,沧源
NLH,宁蒗
LLB,荔波
LPF,六盘水
AHJ,红原
YKH,营口
HBQ,祁连
JIQ,黔江
